can	dog
can	duck
cand	to burn, shining, white
cant	corner, edge, angle
cant	to sing, to chant
cap	to take, to seize
cap	head
cap	head covering, cape, cloak
capacit	to take, to receive, to hold
capill	hair
capit	head
capr	goat
car	to carry, vehicle
car	flesh
carb	carbon, coal
carcin	cancer
cardi	heart
carn	flesh
carp	fruit, seed
carp	to pluck, to seize
carp	wrist
cart	a piece of paper
cas	a fall, to fall, to befall, to happen, an event, an occurrence, by chance
cas	house
cas	to contain
case	cheese
cast	to throw
cast	clean, pure, chaste
castl	castle, fortified place
cat	cat
cata	down, downward, back, backward, away, against, throughout, completely
caten	chain, to link together
cathar	pure, to purify
caud	tail
caul	stem, stalk
caus	a cause, a reason, a lawsuit
caust	to burn
cautio	to be on guard
cav	hollow
caval	horse
ceas	to go, to yield
cec	blind
ced	to go, to yield
ceil	to conceal
ceit	to take, to seize
ceiv	to take, to seize
cel	heaven, the heavens
cele	tumor, hernia, swelling
celebr	to celebrate, to make known, to sing the praises
celer	swift
cell	small enclosure
cen	new, young, fresh, recent
cen	common
cens	to judge, to assess
cens	to burn, to shine
cent	hundred
cent	to sing
centr	center
cephal	head, brain
ceps	head
cept	to take, to seize
cer	wax
cer	the goddess Ceres, goddess of agriculture
cerc	tail
cerebr	brain
cern	to separate
cert	to decide
cess	to go, to yield
cet	whale
chaet	hair, bristle
chaf	to heat, to warm up
chalc	copper, brass
cham	on the ground
champ	open field, level country
chancel	lattice, grating, hence: a place or person behind a lattice; also, to strike out or cross out [to make appear like a latticework]
change	to change
chant	to sing
chap	head, head covering, protection
chapl	originally, a sanctuary for the cope [cape] of St. Martin, hence: a sanctuary
charge	to load
charis	divine gift or favor
chart	a piece of paper
chas	to seize, to hold, to contain
chast	clean, pure
chat	castle
cheat	to fall out, that which falls out
chel	claw
chem	transmutation
cherche	to search
chester	castle, fortified town
cheval	horse
chevel	hair
chevr	goat
chief	head
chil	pepper
chili	thousand
chiro	hand
chlamyd	cloak
chlor	green, chlorine [from its color]
chol	bile
choline	a bodily fluid
chondr	cartilage
chor	singing, dancing
chor	to leave, to spread out, to go, to go to a place, a place
chord	cord, straight line, supporting member
christ	Jesus Christ
chro	color
chrom	color
chron	time
chrys	golden, yellow
chthon	earth
chute	a fall
cid	to fall, to happen
cid	to cut, to cut down, to kill
cili	eyelid, eyebrow, eyelash
cinct	to surround, to encircle
cinema	motion, hence: motion picture
ciner	ashes
cingl	belt, girdle
cinqu	five
cip	to take, to seize
cipit	head
circ	ring, round about
circum	around
cirr	curl, tendril, filament
cis	on this side
cis	to cut
cist	box, chest
cit	city, citizen
cit	to set in motion, to summon
civ	city, citizen
clad	branch, shoot
claim	to cry out
clair	clear
clam	to cry out
clar	clear
clase	to break, to fracture
class	class, division
clast	to break
claud	lame
claus	closed
clav	key, locked or closed-off place
clav	club
cleist	closed
clemen	mild, kind
clim	slope
clin	slope, to lean
clin	to recline, hence: bed, couch
clit	to slope, to lean, a hill
cliv	slope, to lean
clois	closed
clos	to close
clud	to close
clus	closing
cnid	nettle, hence: stinging
coc	to cook, to prepare food, to prepare, to contrive
coca	coca plant
cocc	berry, seed, kernel; a type of bacterium of spherical shape
cochl	snail shell, hence: spiral
cock	cock, rooster, and its perceived characteristics
cod	tree trunk, wood, wooden tablet, to write on a tablet, document, legal document
coel	body cavity
coff	basket
cogn	to know
col	the large intestine, the colon
col	to dwell
col	to filter
col	cabbage
cole	sheath
coll	neck
coll	glue
colon	column
color	color
coloss	huge
colp	womb
colubr	serpent, snake
columb	dove, gray, ashen
com	Generally has the sense of âwith, together, alongside.â Also used as an intensive. In some cases, it has no definable sense apart from the attached stem.
com	hair
comit	to go with, to accompany
commun	common, public, to exchange
con	with, together, alongside
con	to strive, to attempt
concert	to bring into agreement, to harmonize
conch	shell, mollusk, mussel
concil	to call together
cond	to put up, to put away, to store, to hide
condyl	a hard lump or knob, knuckle
confid	to trust, to have faith in
congru	to meet, to coincide
conid	dust, spores
conn	to know
consul	to seek counsel, to consult, to deliberate, to consider
contra	against, opposite, complementary
copi	plenty
copro	excrement
copul	to join together
cor	to run
corac	a raven
cord	heart
cord	gut, string, cord
cori	skin, hide, leather
corn	horn
corolla	garland, money paid for a garland, gratuity, corollary
coron	crown
corp	body
cortic	tree bark, shell, outer covering, cortex
corv	crow, raven
cosm	order, world, universe
cost	rib, side, coast
cot	covering, shelter, house
cott	cooked
cotyl	hollow, cavity
couch	to lie down
coun	with, together
count	to count
count	rank of nobility
counter	against, opposite, complementary
coup	to strike, to cut off
cour	heart
cour	to run
cours	to run
court	enclosure, court
coutr	to sew
cover	to cover
cracy	power, rule
cras	to mix, to temper
crass	thick
cre	flesh
creant	believer
creat	to bring forth, to produce
cred	to believe
crem	to grow
crem	to separate
cren	notch, groove
crep	to rattle, to creak
cres	to grow
cret	to grow
cret	to separate, to discern
crimin	crime, judgement
crimin	to divide, to distinguish, to separate
crin	hair
crin	to separate
crin	lily
cris	to separate to discern
crit	to separate to discern
croch	hook, hence: bent
crout	crust
cru	to increase, to grow
cruc	cross
crud	raw, unrefined, in a natural state
crust	shell
cryo	extreme cold, frost
crypt	hidden
cten	comb teeth, comblike
cub	to lie down
cub	cube
cuck	cuckoo
cul	diminutive
cul	posterior, rump, bottom
culp	guilt, blame
cult	to cultivate, to dwell, to inhabit
cum	with
cumb	to lie down
cumbr	burden
cumul	heap, mass
cune	wedge
cup	to take, to seize
cup	desire
cup	cup, cup-shaped
cupr	copper, metal of Cyprus
cur	care
cur	to run
curia	court
curs	to run
curt	to cut short
curv	curve
cus	to charge, reason, cause, lawsuit
cusp	point
cuss	to shake
custom	usual practice, custom
cut	skin
cyan	blue
cyber	to steer, to control, to guide, to control
cycl	wheel, circle
cym	a wave
cymb	boat, hollow of a vessel
cyn	dog
cyprin	carp
cyst	sac, bladder, cyst
cyt	cell
dactyl	finger
dam	damage, harm
dam	lady, mistress
dat	to give, something given
de	god
dear	valuable, precious, hence: scarce
deb	to owe
dec	ten
dec	proper, suitable, beautiful, elegant
del	to wipe out
delt	the Greek letter delta: Î
dem	the people
dem	to bind, hence: a band for the head
demi	half, not complete, less than full
demon	divinity, spirit, demon
dendr	tree
dens	compact, thick
dent	tooth, to bite
derm	skin
destin	to make fast, to fix down
deuter	secondary
dextr	right [side]
di	god
di	two, twice, double
di	day
dia	through, across, apart, between
dic	to proclaim
dic	justice, right
dicho	in two, apart
dict	to say
didac	to teach
didym	double, twin
digit	finger
dign	worthy, to deem worthy
dino	terrible
diphy	to bear two, to produce twice
diplo	two, double, twin
dips	thirst
direct	straight, to direct, to correct
disc	disk
discipl	pupil, learner, to learn
dition	giving
divid	to divide
doc	to teach
dodec	twelve
dol	pain, sadness
dolich	long
dom	house
domin	lord, master, owner
domit	to tame, to subdue
don	to give
don	lord, master, mistress
dor	gift
dorm	to sleep
dors	the back
dos	to give
dot	foolish, feeble-minded
dote	to give
doubt	doubt
dow	to give
dox	to think, to have opinion, to praise
dra	to draw, to pull, to drag
dress	to direct, to correct
droit	right, correct
drom	to run, a running
dros	dew
dry	tree
du	to lead
du	two
dub	doubt
duc	to lead
duct	to lead
dulc	sweet
dur	hard
dur	to last, to endure
dy	two
dyn	force, motion, power
dys	difficult, faulty, bad
e	Generally indicates removal, or outward direction or position; hence: out, outside, from out, without
ease	comfort, convenience
east	dawn, hence: the east
eau	water
ec	out, out of, outside
ecclesi	church
ecdys	to strip off
echin	spiny, prickly
eco	house, habitat, environment
ecto	outside
ectomy	a surgical cutting out
ed	to build, house, building
ed	to eat
ed	wealth, happiness
ed	delight, pleasure
edaph	soil, earth, ground
edema	swelling, tumor
edit	to give out, to publish
ego	I, self
egor	assembly, place of assembly, to speak in assembly
eid	image, form
el	God [combining form, in names of Hebraic origin]
electr	shining, sparkling
em	to obtain, to take, to buy
eme	unit of language structure
eme	superlative word form
emia	condition or state of the blood
enchym	infusion, to pour in
endo	inside, within
enn	year
ent	to be
entom	insect
entr	inside, between
entr	intestines
eo	dawn, hence: early
ep	word, speech, song
epeir	continent, mainland
epi	on, upon, over, above, behind, beside, among
equ	even, equal
equ	horse
er	love
erc	compulsion, application of force
erg	work
erior	farther in the given direction
ernal	location in reference to direction
err	to wander, to go astray
ert	activity, movement
erythr	red
es	to be
es	to eat
esce	to begin, to become
eso	within, inward
esth	sensory perception
estim	to estimate, to evaluate, to value
estiv	summer
estr	madness, frenzy
et	age
eth	moral custom
eth	ether
ethel	noble
ethn	race of people
etym	origin of a word
eu	good, well
eur	to discover
eury	wide
euvr	work
ev	age
ex	Generally indicates removal, or outward direction or position; hence: out, outside, from out, without. Also used as an intensive.
excel	to raise, to go higher
exo	outside, outward, external
exper	to try, to learn by trying
extr	outside, outward
fa	to speak
fabric	to put together
fac	to do, to make
fac	face
facient	making
facil	to do easily
fact	to do, to make
fair	to do
fait	done
fall	to deceive, mistaken, wrong, false
fan	temple
fan	to appear, to show
far	meal, grain
farc	to cram, to stuff
fare	to travel, to go
farious	possible, possibilities, legalities, directions
fasc	fasces: bundle of rods with an axe as symbol of authority, bundle, cluster
fasc	a band, a sash, flat strip
fast	firm, fixed, solid
fastig	the gable end of a roof, point, slope
fat	a divine utterance, hence: destiny, fate, death
fatig	to tire out
fatu	foolish
fault	mistaken, wrong, to fail
faun	animal life
faux	false
fe	wealth, property
feas	to do, to make
feat	to do, to make
febr	fever
fec	excrement
fect	to do, to make
feder	treaty, league
feit	to do, to make
fel	wicked, cruel, treachery
fel	cat
felic	happiness
fem	woman
fenc	to strike
fend	to strike
fens	to strike
fer	to bear, to carry
fer	to strike
fer	wild, fierce
ferr	iron
ferv	to boil
fess	to acknowledge, to avow
fest	feast, celebration
fest	to strike, to attack
fet	offspring
fet	foul-smelling
fex	to make
fianc	faith, to give a pledge, troth
fibr	fiber, filament, hair
fibula	clasp, to fasten
fic	to do, to make
fid	faith, trust
fid	to split, to cleave, to divide
fig	form, shape
fil	thread, string, to string together, to put in line, to put in order
fili	son, child
filtr	filter
fin	boundary, limit, end
firm	firm, strong
fisc	public treasury
fiss	to split, to cleave, to divide
fistul	pipe, tube, ulcer
fit	to do, to make
fit	to arrange, to put in order
fix	to fasten
flagell	whip
flagr	to blaze
flam	flame
flat	to blow
flav	yellow
fleche	arrow
flect	to bend
fledg	feather, to grow feathers
fleur	flower
flex	to bend
flict	to strike
flocc	flock of wool
flor	flower, blossom
flot	to float
flu	to flow
fluor	fluorine, fluorescence
fluvi	river, flowing water
flux	to flow
foc	fireplace, hearth, hence: central point, focal point, focus
foil	leaf
foli	leaf
folk	people, a people
for	door, outdoors, outside
for	hole, to pierce, to bore
for	forward, before
form	form, shape, appearance
formic	ant
fort	chance
fort	strong
foss	to dig, diggings, trench, ditch
found	bottom
found	to pour
fract	to break
frag	to break
franc	the Franks, early residents of France and western Europe, hence: France. Also bears the sense of âfreeâ, from the Frankish system of freedom
fratr	brother
fred	peace
fren	bridle
fres	fresh, cool
frey	peace
fric	to rub
frig	cold
fringe	to break
frond	leafy branch, foliage
front	front
frost	frost, ice
fruct	fruit
frug	fruit
fruit	fruit
fuc	rock lichen
fug	to expel, to flee, to fly
fulg	to shine, to flash, lightning
fum	fumes, smoke
fun	rope
funct	to perform
funer	funeral
fur	to rage
fur	furrow
fur	thief
furc	fork
furn	to equip, to supply
fus	spindle
fus	to pour
fusc	dark, to darken
fusil	musket
fust	stick, cudgel
fut	to repel, to drive back, to repress, to check
fy	to do, to make
gage	pledge, surety
gain	against, opposite
gal	merriment, to make merry, to rejoice
galact	milk
gall	an ancient type of ship
gall	France
galli	hen, cock
gam	marriage, union
gamb	leg, to leap
gar	to watch over, to protect
gar	spear
gar	sharp
garg	throat
gastr	stomach
gel	to freeze
gemin	twins
gen	to give birth, to be born
gen	born into a family, hence: type, family, kind
gen	times ten
genu	knee
geo	planet Earth; hence, earth, ground
ger	to carry
ger	spear
germ	germ, bud, sprout, embryo, hence: born, related
geront	old age
gest	to carry
get	to take
ghast	ghost
giga	giant, one billion
gir	to spin
gird	to enclose, to encircle
gl	to shine, to gleam, joyful
glabr	smooth, bald
glac	ice
gladi	sword
glauc	to gleam
gliss	to slide, to glide
glob	sphere
glomer	ball
glori	glory
gloss	tongue
glott	tongue
gluc	sweet, sugar
glut	to swallow
glutin	glue
glyc	sugar, sweet
glyph	carving
glypt	carving
gn	to give birth, to be born
gnath	jaw
gno	to know
god	god
gon	angle, corner
gon	reproductive system
gorg	whirlpool, eddy, abyss, narrow pass, windpipe, throat, neck, decoration for the neck, beautiful
gos	goose
govern	to govern, to guide
grad	step
gram	writing
gramin	grass
gran	seed, grain
grand	great, large, larger, older
grap	hook, to harvest with a hook
graph	to write
grat	pleasing, thankful, welcome
grav	to dig
grav	heavy
grav	gravel, sand
greg	to gather, a flock
grenad	pomegranate
gress	to step
griff	a fabulous monster
gris	gray
gross	thick, large
grot	grotto
guard	to watch over, to protect
guerr	war
guid	guide, to lead
guin	white
guise	appearance, manner
gurg	throat, gorge
gust	taste
gutt	drop
gymn	naked, a place to exercise naked
gyn	woman
gyps	gypsum, chalk
gyr	to spin
h	demonstratives
habil	to have, to hold, to manage, to dwell
habit	to have, to hold, to dwell
hagio	sacred, holy, hence: saint
hal	to breathe
hal	salt, the sea
hal	holy
hand	hand
hap	luck, chance
haplo	single, simple
har	army
harmon	joint, to fit, agreement, harmony
haust	to draw, to drain
haut	high
head	head
hearse	harrow
heb	a youth
hecto	hundred
hedon	pleasure
hedr	seat, chair
hedron	side, base, seat
heg	to lead, leader, guide
helic	spiral
helio	the Sun
Hellen	Hellen, legendary king who was said to be the ancestor of all Greeks, hence: Greece [chiefly ancient Greece]
helm	wheel, rudder, control, to guide
helm	covering, protection
helminth	parasitic worm
hemato	blood
hemer	day
hemi	half
hemo	blood
hen	one
hepat	liver
hept	seven
her	heir
her	to stick
her	army
herb	herb, grass
herp	to creep, serpent
hes	to stick
hetero	other, different
hex	six
hibern	winter
hibit	to have, to hold
hier	sacred
hilar	happy, cheerful
hild	battle
hind	back, rear, behind
hipp	horse
histo	tissue
histor	learning, history, story
hol	whole, entirely
hold	to have, to hold
hom	man, mankind
homeo	same
homil	sermon, preaching
homo	same
homolo	even, flat, level
hon	honor
hor	hour
horr	to bristle, to tremble, to cause fear or loathing
hors	outside
hort	garden
hort	to urge
hosp	host
host	army, enemy
host	receiver of guests
hum	earth, ground, soil
hum	moisture, fluid
hum	human
hyal	glass, transparent
hybrid	offspring of mixed descent
hydr	water
hygr	moisture
hymen	membrane
hymn	sacred song
hyper	over, excess
hypn	sleep
hypo	under, insufficient
hypso	height
hyster	uterus
hyster	latter, behind
iamb	iamb [a metrical foot]
iatr	physician, medicine
ichn	track, footprint, trace
ichthy	fish
icon	image, likeness
id	form, image [physical or mental]
idem	same
ideo	mental image, idea, thought
idio	individuality, pecularity
ig	to do, to act, to drive
ign	fire
ill	diminutive
im	superlative word form
imag	image, copy, likeness
imit	to imitate, to copy
imper	to command
ind	India
infr	below, beneath
init	to go in, to begin, to start
insul	island
integr	whole, complete, perfect
inter	inside, between
intra	within, inside
intro	inward, within
ion	to go, hence: ion [ions go to an electrical charge]
ips	self
ir	anger, wrath
iren	peace
iris	rainbow, iris
ischi	hip, hip joint
isk	diminutive
ism	suffix forming nouns indicating an act, practice, condition, belief, state, etc.
iso	equal
ist	a suffix forming nouns indicating a person who does or makes the specified thing; who adheres to a particular doctrine or practice; or a person occupied with, or an expert in a field
it	to go
iter	again, a second time
itis	inflammation
jac	to throw, to lay
jacent	to throw oneself down, to lie down
jah	Jehovah
jan	doorway, passageway
ject	to throw
jejun	empty
jet	to throw
jo	the Lord, Jehovah [in names of Hebraic origin]
joc	to be merry, to jest
join	to join
journ	day
jov	the god Jove [Jupiter]
jubil	to shout for joy
jud	Judah, son of Jacob, who was progenitor of the Jews
judg	to judge
judic	to speak the law, to judge
jug	to join, yoke
junct	to join
jur	law, to swear, to take an oath
just	right, lawful, proper
juven	young
juxt	to approach, near, close by
kary	kernel, nut, hence: nucleus of a cell
kerat	horn
ket	acetone
kilo	thousand
kine	movement
klept	thief, to steal
know	to know
la	the people
lab	to take, to hold
lab	to totter, to slip, to fall
lab	lip
labor	work, toil
lac	lac, resin
lacert	lizard
lachrym	weeping, tears
lact	milk
lacu	lake, pool, hole
lad	to load
lag	to lay, to lie
lain	attendant, steward, keeper
lalia	speech
lambd	the Greek letter lambda: Î
lamell	plate, scale, layer
lamin	plate, sheet, layer
lamp	to shine
lan	wool
langu	weak, weary, faint
lap	a fold, flap, or hanging part of a garment
lap	stone
lapar	abdomen, abdominal wall
laps	to slip, to fall
lard	bacon, lard
larg	large
lat	to bear, to carry
lat	wide
lat	lath
lateral	side
latr	worship
laud	to praise
laur	laurel
laut	sound
lav	to wash
lax	loose, to loosen
lay	to leave behind
lay	to lay
leas	to let go, to loosen
lect	to choose, to collect, to gather
lect	speech, to read
leg	to choose, to collect, to gather
leg	word, to read
leg	law
leg	to commission, to charge
lemma	proof, support
lemma	husk
leni	soft, mild, gentle
lent	tough, resistant, slow
lent	lentil, lentil-shaped, hence: lens
leon	lion
lep	scales
lepor	hare
leps	to take, to seize, seizure
lept	to take, to seize
lept	thin, fine, slender
les	to injure
leth	drowsiness, forgetfulness
leuk	white
lev	left [side]
lev	light weight, to lift, to raise
levi	Levi, third son of Jacob and Leah, and the Levite tribe descended from Levi
lex	speech, word
lia	to bind
lib	to please, pleasure, desire, lust
liber	free
libr	book
libr	balance
lic	to be allowed
lic	to let go, to leave behind
lic	to allure
lid	to strike
lieu	place, stead
lig	to choose, to collect, to gather
lig	to bind
lign	wood
lim	boundary
lim	threshold
lim	mud, slime
limb	border, edge
limn	lake, pond
lin	flax, linen
line	line
lingu	tongue, hence: language
linqu	to let go, to leave behind
lion	lion
lip	fat
lips	to leave behind, to abandon
liqu	liquid
lit	lawsuit, legal proceeding
lite	stone
liter	letter
lith	stone
liver	free
loc	place
locu	to speak
log	small house, sheltered place
log	speech, word, reason
long	long, along
lop	to run, to jump
lopho	crest, tuft
loqu	to speak, speech
lorn	to lose, having lost
lot	to wash
lot	lot, to divide or distribute by lot
lox	slanting, oblique
luc	bright, light
lucr	gain, riches
luct	to struggle
lud	to play, to jest
lumb	loins
lumin	light
lun	the moon
lup	wolf
lus	to play, to jest
lustr	bright
lut	to wash
lut	clay, mud, dirt, to befoul
lute	yellow
luv	to wash
lux	luxury, extravagance, excess
ly	to bind
lyc	wolf
lyr	lyre, music
lys	to undo, to loosen, to release, to dissolve
m	me
machin	to devise, to contrive
machy	fight, battle
macro	long, large
macula	spot, stain
mag	to be able, to have power
magistr	master
magn	great
maha	great
maieus	pregnancy, birth
main	hand
major	greater
mal	bad, ill
malac	soft, hence: mollusk
mall	hammer
mamm	breast
man	hand
man	to remain, to dwell
man	rare, thin, sparse; pressure [of a gas]
manc	divination, sorcery
mand	to command, to order
mang	to chew
mani	many
mania	madness, to rage
mann	manna
mant	cloak, covering
mar	sea
mar	horse
marc	boundary, to mark off a boundary
marc	Mars, god of war
margar	pearl
margin	boundary, border
mari	Mary
marqu	boundary, boundary marker, mark, sign, token, pledge
mart	Mars, god of war, hence: military, of war
masc	mask
mascul	male
mass	lump, bulk
mast	breast, nipple
mat	the will, willing
math	to learn
matin	morning, daytime
matr	mother
maxill	jaw, upper jaw
maxim	greatest
mazd	wise
mea	to pass through
meal	meal [milled grain]
mec	length, long
med	to heal
medi	between, middle
medit	to meditate, to think deeply
medl	to mix
mega	great, large, one million
megalo	large, very large, abnormally large
megist	greatest
meio	smaller, to make smaller, less
mel	honey, sweet
mel	to mix
mel	song
melan	black
melior	better
membr	body part
memor	to remember
men	moon, month
men	household, to dwell
men	to project, to threaten, to drive, to lead, to conduct
mend	to command, to order
mend	defect, fault
mening	membrane
mens	to measure
mensa	table
ment	the mind, mental powers
menth	mint
mer	sea
mer	part, division
merc	commerce, payment; also, Mercury, god of commerce
merg	to dip
meri	middle
merit	to serve for hire, to deserve, to earn
mers	to dip
meso	middle
mess	to send
met	measurement
meta	generally has the sense of âassociated with or near, but somewhat removed,â hence: above, beyond, over, after, behind, between, with, beside, changed from
meteor	sky
meth	methylene
methy	wine, alcohol, hence: wood alcohol [methanol]
metr	measurement
metr	mother, uterus
mezz	middle
micro	small
mid	middle
migr	to move from one home to another
mil	millet
milit	soldier
mill	thousand, one-thousandth
mim	to imitate
min	to project, to threaten
mine	ore, to dig
mini	miniature, very small
minim	smallest, least
ministr	subordinate, servant, aide, to serve, to attend
minor	smaller
minu	smaller, to make smaller
mir	to behold with wonder
mis	bad, wrong, not
misc	to mix
mise	to send
miser	wretched, pitiable, to have pity
miso	hatred
miss	to send
mistr	master
mit	to send
mito	thread
mix	to mix
mnem	to remember
mob	to move
mod	to measure, to make fit
mol	mass, bulk, weight, burden
mol	millstone, mill, to grind, milled grain
moll	soft
moment	movement
mon	moon
mon	to remind, to warn, to advise
mond	hand, protection
mono	single
mons	mountain
monstr	portent, warning, advice, to admonish
mont	mountain, to mount
mor	custom, wont, conduct, manner
mor	foolish
mor	morning
mora	delay
morb	disease
mord	to bite
morph	shape, form
mors	to bite
mort	death
mot	to move
mot	to mutter, word
mount	mountain, to climb up, to put up
mov	to move
muc	mucus
multi	several, many
mun	to defend, to fortify
mun	public service, official duties
mun	payment, gift
mund	the world
mur	wall
mur	to delay, to stay
mus	the Muses
muse	to loiter
must	new wine
mut	to change, to exchange
myc	fungus
myel	bone marrow, spinal cord, myelin
myo	muscle
myria	countless number, ten thousand
myrmec	ant
myso	uncleanness, filth
myst	secret rite, secret
myth	speech, story, legend
myx	mucus
n	not, no
nano	one billionth (10−9)
nap	flat piece of cloth
naphth	naphtha, bitumen
narc	numbness, sleep
nas	to be born
nas	nose
nast	type of plant growth
nat	to be born
nat	to swim
nathan	gift
nau	ship
naus	ship, seasickness, nausea
naut	sailor, ship
nav	ship
neath	below, down
nebul	cloud
nec	death
necro	death
nect	to bind, to fasten
neg	denial, negation
negr	black
nemat	thread, threadlike, hence: threadlike worm or parasite
neo	new
neph	cloud
nephr	kidney
neptun	the god Neptune
nerv	nerve
nes	island
neur	nerve
neutr	neither
nic	victory
nickel	demon
nid	nest
nigr	black
nihil	nothing
nitr	nitrogen
no	perception, the intellect, the mind
nobl	to be known, noble
noc	harm
noct	night
nod	knot, node
noir	black
nom	law, system, arrangement
nom	name
non	nine
nor	north
norm	pattern, rule
nos	disease, sickness
nos	nose
nost	to return home
nostr	our
not	to know, to note
not	south
noto	the back
nounc	to call out
nouv	new
nov	new
nov	nine
nu	to nod, hence: to hint
nub	to marry, marriage
nucl	core, nucleus
nud	naked
nul	none, not
num	coin
numer	number
nunc	now
